real distance:(1 groups)
14  1:372.8  2:317.8  3:353.3  4:271.1  5:223.9  6:302.9  7:171.0  8:262.2  9:229.0 10:238.4 11:189.9 12:338.8 13:277.1 14:270.2 

measured distance:(200 groups)

14  1:380.7  2:322.1  3:357.7  4:273.9  5:226.0  6:304.8  7:169.9  8:262.4  9:233.4 10:248.0 11:206.2 12:343.3 13:282.0 14:278.4 
14  1:380.4  2:323.7  3:357.7  4:274.3  5:226.2  6:304.7  7:169.4  8:263.9  9:233.7 10:249.0 11:204.7 12:330.3 13:282.1 14:278.3 
14  1:380.5  2:323.6  3:357.8  4:273.9  5:226.2  6:304.9  7:170.0  8:263.3  9:233.0 10:248.4 11:215.0 12:344.0 13:282.1 14:276.7 
14  1:380.4  2:323.6  3:358.1  4:273.9  5:226.2  6:305.0  7:170.0  8:263.9  9:233.1 10:248.7 11:206.5 12:343.8 13:282.0 14:277.6 
14  1:380.1  2:323.4  3:357.3  4:274.2  5:226.0  6:304.9  7:169.9  8:263.8  9:232.9 10:248.0 11:203.2 12:343.8 13:281.6 14:277.2 
14  1:380.3  2:323.7  3:357.4  4:273.9  5:226.2  6:305.0  7:170.0  8:263.9  9:232.7 10:248.8 11:209.0 12:343.8 13:282.0 14:277.5 
14  1:380.3  2:323.1  3:357.7  4:274.2  5:224.7  6:304.9  7:170.0  8:263.3  9:233.6 10:248.8 11:204.6 12:343.8 13:281.8 14:277.8 
14  1:380.2  2:323.5  3:357.7  4:274.0  5:226.0  6:304.8  7:169.4  8:263.7  9:234.1 10:248.1 11:205.4 12:342.3 13:281.6 14:278.0 
14  1:380.3  2:323.4  3:357.7  4:274.5  5:226.2  6:304.9  7:169.4  8:263.7  9:232.9 10:248.2 11:205.4 12:343.8 13:281.7 14:278.0 
14  1:379.7  2:321.9  3:357.8  4:274.0  5:226.2  6:303.1  7:168.6  8:263.9  9:233.7 10:248.9 11:217.7 12:343.9 13:282.0 14:279.1 
14  1:380.3  2:322.8  3:357.3  4:273.1  5:226.1  6:304.5  7:169.8  8:263.9  9:233.4 10:248.8 11:205.4 12:343.9 13:282.1 14:277.3 
14  1:380.3  2:323.5  3:356.2  4:273.8  5:225.2  6:304.4  7:169.8  8:250.2  9:233.3 10:248.1 11:203.7 12:343.9 13:281.5 14:277.2 
14  1:380.3  2:323.8  3:358.1  4:274.6  5:226.3  6:304.2  7:170.0  8:262.5  9:233.5 10:249.0 11:204.8 12:344.0 13:282.2 14:276.9 
14  1:380.4  2:323.0  3:358.3  4:274.0  5:225.7  6:305.0  7:169.4  8:263.9  9:233.7 10:248.4 11:207.3 12:342.3 13:282.1 14:277.3 
14  1:380.2  2:322.7  3:358.0  4:274.0  5:226.1  6:303.0  7:169.9  8:263.9  9:232.9 10:247.3 11:206.5 12:343.8 13:281.0 14:278.1 
14  1:380.4  2:323.6  3:357.5  4:274.7  5:226.2  6:305.0  7:170.1  8:264.0  9:233.5 10:249.0 11:217.7 12:343.9 13:281.5 14:277.6 
14  1:366.8  2:322.7  3:357.8  4:274.6  5:226.1  6:304.9  7:170.0  8:263.9  9:234.2 10:247.4 11:205.7 12:343.1 13:268.5 14:277.6 
14  1:380.4  2:323.6  3:358.2  4:274.6  5:224.7  6:304.4  7:169.5  8:250.5  9:233.5 10:248.3 11:219.2 12:343.9 13:268.5 14:277.5 
14  1:366.8  2:323.5  3:357.8  4:273.1  5:225.9  6:304.9  7:169.8  8:263.7  9:232.5 10:248.0 11:221.7 12:342.3 13:281.6 14:277.6 
14  1:380.3  2:323.3  3:357.8  4:274.2  5:226.2  6:304.9  7:170.0  8:263.9  9:234.2 10:248.0 11:205.0 12:343.9 13:282.1 14:279.1 
14  1:380.3  2:323.4  3:357.7  4:273.9  5:226.2  6:304.2  7:169.9  8:264.0  9:233.6 10:247.8 11:219.1 12:343.8 13:282.0 14:277.6 
14  1:380.5  2:323.5  3:357.1  4:273.9  5:224.6  6:304.1  7:169.8  8:263.9  9:233.5 10:247.9 11:220.8 12:343.8 13:281.9 14:277.5 
14  1:380.4  2:323.7  3:358.0  4:273.2  5:225.6  6:305.0  7:170.0  8:263.9  9:233.6 10:249.0 11:207.3 12:343.9 13:281.9 14:278.2 
14  1:380.5  2:323.7  3:358.0  4:274.0  5:226.2  6:304.6  7:169.4  8:263.4  9:233.6 10:248.9 11:204.7 12:344.0 13:280.6 14:277.4 
14  1:379.9  2:323.6  3:357.8  4:273.9  5:226.1  6:305.0  7:168.4  8:263.9  9:231.9 10:248.9 11:214.5 12:343.9 13:282.0 14:278.3 
14  1:379.8  2:323.0  3:356.7  4:273.5  5:225.6  6:304.5  7:169.4  8:263.3  9:219.4 10:247.7 11:203.4 12:343.4 13:281.5 14:276.8 
14  1:379.6  2:323.4  3:356.0  4:260.3  5:224.4  6:304.9  7:169.7  8:262.1  9:233.2 10:247.1 11:204.4 12:343.6 13:280.2 14:277.1 
14  1:380.2  2:323.5  3:357.7  4:274.0  5:226.0  6:304.6  7:169.8  8:263.7  9:93.2 10:176.8 11:207.1 12:343.8 13:281.8 14:278.2 
14  1:380.5  2:323.0  3:356.4  4:273.9  5:226.2  6:303.7  7:169.9  8:263.8  9:220.0 10:248.0 11:214.3 12:343.8 13:280.5 14:277.4 
14  1:378.7  2:322.9  3:357.8  4:273.9  5:226.0  6:304.3  7:170.0  8:263.7  9:233.3 10:248.1 11:205.4 12:343.8 13:280.3 14:277.5 
14  1:379.8  2:323.5  3:357.8  4:274.2  5:226.2  6:304.7  7:170.0  8:263.9  9:233.5 10:248.1 11:206.3 12:342.4 13:282.0 14:277.5 
14  1:380.4  2:323.1  3:357.9  4:274.1  5:226.2  6:304.8  7:170.0  8:264.0  9:233.5 10:248.4 11:215.8 12:343.9 13:282.1 14:276.7 
14  1:380.4  2:323.2  3:357.8  4:273.9  5:212.5  6:303.1  7:169.9  8:263.8  9:232.7 10:248.1 11:203.2 12:343.3 13:282.1 14:277.6 
14  1:378.8  2:322.6  3:358.0  4:273.8  5:226.0  6:304.9  7:169.8  8:263.7  9:233.3 10:247.2 11:205.4 12:343.8 13:281.9 14:278.1 
14  1:380.4  2:323.7  3:358.2  4:274.2  5:226.2  6:304.7  7:170.0  8:263.9  9:233.6 10:249.0 11:216.6 12:343.3 13:281.2 14:278.3 
14  1:379.9  2:323.6  3:358.2  4:273.8  5:225.4  6:304.7  7:170.0  8:263.3  9:232.8 10:248.1 11:206.6 12:343.9 13:282.0 14:276.7 
14  1:380.1  2:323.0  3:358.1  4:274.0  5:226.2  6:304.7  7:170.1  8:263.4  9:234.2 10:248.9 11:204.9 12:342.5 13:281.3 14:278.3 
14  1:379.2  2:323.7  3:358.0  4:273.5  5:226.2  6:304.7  7:170.1  8:264.0  9:234.3 10:249.0 11:212.9 12:343.3 13:281.9 14:276.8 
14  1:380.6  2:323.6  3:358.1  4:274.0  5:226.2  6:304.8  7:169.5  8:264.0  9:233.6 10:248.9 11:206.5 12:343.9 13:281.8 14:277.6 
14  1:379.7  2:323.5  3:357.8  4:274.6  5:226.1  6:304.9  7:169.4  8:263.8  9:234.0 10:248.7 11:219.9 12:342.3 13:281.9 14:279.0 
14  1:379.9  2:322.2  3:358.0  4:274.8  5:225.2  6:304.1  7:168.7  8:264.0  9:234.2 10:248.9 11:218.4 12:343.1 13:281.5 14:278.2 
14  1:380.3  2:322.1  3:358.5  4:274.0  5:225.5  6:303.8  7:170.0  8:264.0  9:233.4 10:234.3 11:219.2 12:343.9 13:281.9 14:275.8 
14  1:380.6  2:323.7  3:357.8  4:274.5  5:226.1  6:304.5  7:169.9  8:263.9  9:233.5 10:248.8 11:208.7 12:344.0 13:281.7 14:278.1 
14  1:380.8  2:323.7  3:357.9  4:274.6  5:225.6  6:304.9  7:170.0  8:263.3  9:232.7 10:248.9 11:219.2 12:344.0 13:282.0 14:277.6 
14  1:380.4  2:322.9  3:358.1  4:273.6  5:226.2  6:305.0  7:169.5  8:263.1  9:233.9 10:248.9 11:215.8 12:344.1 13:280.4 14:275.9 
14  1:380.3  2:323.6  3:358.2  4:274.6  5:226.2  6:304.7  7:170.0  8:263.3  9:233.5 10:249.0 11:205.7 12:343.2 13:281.7 14:277.7 
14  1:380.1  2:322.0  3:357.3  4:273.9  5:226.1  6:304.9  7:169.8  8:263.3  9:233.4 10:247.3 11:216.7 12:343.4 13:281.1 14:277.3 
14  1:380.2  2:323.7  3:357.2  4:273.9  5:226.0  6:304.9  7:169.8  8:263.0  9:233.8 10:247.9 11:208.1 12:343.7 13:282.0 14:278.1 
14  1:380.3  2:323.2  3:358.2  4:274.0  5:225.5  6:303.5  7:170.1  8:264.0  9:233.6 10:247.5 11:204.7 12:343.3 13:281.2 14:276.8 
14  1:379.5  2:323.5  3:357.7  4:273.7  5:226.2  6:304.9  7:169.8  8:262.2  9:234.0 10:248.0 11:204.5 12:343.8 13:281.8 14:276.7 
14  1:380.3  2:323.7  3:357.8  4:274.0  5:226.2  6:305.0  7:170.0  8:263.9  9:232.8 10:248.2 11:205.6 12:343.9 13:282.0 14:276.9 
14  1:380.3  2:323.6  3:358.5  4:274.5  5:226.1  6:304.6  7:170.0  8:263.8  9:233.5 10:248.2 11:216.5 12:342.3 13:281.9 14:277.6 
14  1:379.9  2:323.2  3:358.1  4:274.0  5:225.7  6:304.7  7:169.4  8:263.9  9:232.8 10:248.7 11:205.5 12:343.8 13:282.1 14:276.7 
14  1:379.2  2:323.3  3:357.4  4:274.0  5:226.3  6:305.0  7:170.0  8:264.0  9:231.9 10:247.6 11:222.6 12:343.9 13:282.1 14:278.2 
14  1:380.5  2:323.8  3:357.9  4:274.0  5:226.2  6:304.0  7:170.0  8:264.0  9:233.7 10:248.4 11:216.9 12:343.2 13:281.7 14:277.4 
14  1:380.7  2:323.6  3:357.8  4:273.5  5:212.6  6:304.5  7:169.9  8:263.9  9:233.7 10:248.4 11:208.0 12:343.9 13:282.0 14:278.2 
14  1:380.4  2:323.7  3:358.0  4:274.3  5:225.4  6:304.5  7:169.9  8:263.9  9:233.6 10:249.0 11:208.1 12:343.9 13:281.8 14:276.8 
14  1:380.2  2:323.6  3:358.0  4:274.6  5:226.1  6:304.6  7:169.9  8:263.3  9:233.6 10:248.1 11:217.5 12:343.8 13:281.9 14:278.2 
14  1:379.9  2:323.7  3:358.0  4:274.3  5:226.2  6:305.1  7:170.0  8:263.9  9:234.2 10:249.0 11:219.2 12:343.9 13:281.5 14:278.2 
14  1:380.3  2:323.4  3:357.8  4:274.4  5:212.5  6:304.8  7:169.7  8:263.7  9:231.8 10:248.7 11:216.7 12:343.7 13:281.0 14:277.4 
14  1:380.5  2:323.6  3:357.6  4:274.0  5:226.1  6:305.0  7:168.3  8:250.2  9:233.4 10:248.8 11:215.9 12:343.8 13:281.9 14:278.3 
14  1:380.1  2:322.1  3:357.8  4:274.5  5:226.2  6:304.8  7:169.4  8:263.8  9:233.3 10:247.9 11:219.0 12:343.8 13:281.7 14:277.3 
14  1:380.2  2:323.1  3:358.0  4:274.0  5:226.2  6:304.6  7:170.0  8:263.4  9:234.2 10:248.8 11:203.8 12:343.9 13:281.4 14:277.3 
